insee_code,total_rooftops,pv_rooftops_count
04129,127,2
04130,308,6
04132,279,3
04133,506,7
04134,695,12
04135,1278,12
04136,751,10
04137,101,4
04138,422,9
04139,813,19
04140,286,5
04141,626,8
04142,189,2
04143,5036,140
04144,714,7
04145,1277,21
04148,675,10
04149,2593,68
04150,218,6
04151,694,10
04152,4080,81
04154,290,2
04155,716,3
04156,431,17
04157,1231,20
04158,863,6
04159,214,3
04160,2024,66
04161,1022,9
04162,518,5
04163,851,12
04164,206,1
04166,2480,20
04167,459,13
04169,255,4
04170,187,2
04171,300,0
04172,919,14
04173,1256,23
04174,465,2
04175,170,3
04176,319,5
04177,192,0
04178,1885,26
04179,195,1
04180,135,2
04181,163,3
04182,373,8
04183,295,1
04184,345,3
04186,210,0
04187,175,2
04188,796,16
04189,702,6
04190,157,4
04191,90,0
04192,1589,20
04193,713,6
04194,219,3
04195,865,20
04197,2954,41
04199,395,8
04200,752,22
04201,265,7
04202,240,2
04203,887,32
04204,454,4
04205,2708,56
04206,626,4
04207,213,1
04208,1207,9
04209,5607,106
04210,442,3
04211,227,2
04214,402,4
04216,362,2
04217,909,5
04218,841,8
04219,839,0
04220,559,13
04222,428,17
04224,405,2
04226,1164,7
04227,652,5
04228,114,2
04229,382,8
04230,4065,76
04231,414,7
04233,433,14
04234,443,6
04235,252,0
04236,293,1
04237,452,3
04240,862,3
04241,224,7
04242,3526,90
04244,1783,44
04245,2849,48
05001,757,6
05003,512,7
05004,1408,19
05006,1788,27
05007,858,14
05008,626,20
05009,227,2
05010,1194,23
05011,606,19
05012,759,23
05013,288,9
05014,460,7
05016,534,18
05017,1770,66
05018,396,28
05019,440,10
05021,289,11
05022,384,12
05023,5544,120
05024,816,8
05025,217,11
05026,603,2
05027,441,1
05028,282,13
05029,968,30
05031,356,3
05032,321,0
05033,139,1
05035,107,0
05036,1431,31
05037,627,25
05038,690,14
05039,1179,41
05040,3243,90
05044,276,3
05045,1370,17
05046,3884,90
05047,195,4
05048,517,9
05049,131,1
05050,573,16
05051,123,1
05052,993,35
05053,899,27
05054,434,14
05055,656,12
05056,379,15
05057,370,8
05058,537,3
05059,855,26
05060,217,2
05061,16552,580
05062,378,1
05063,1108,17
05064,332,2
05065,2403,47
05066,28,0
05068,583,20
05070,3135,96
05071,571,22
05072,344,4
05073,617,9
05074,230,8
05075,665,18
05076,183,6
05077,842,13
05078,363,10
05079,2143,29
05080,207,8
05081,139,1
05082,134,0
05084,514,11
05085,1039,3
05086,340,3
05087,810,27
05089,103,3
05090,378,16
05091,120,4
05092,965,43
05093,968,7
05094,35,0
05095,489,10
05096,1223,11
05097,780,11
05098,813,7
05099,208,6
05100,884,27
05101,2530,30
05102,238,5
05103,1001,41
05104,572,12
05106,601,6
05107,556,30
05108,322,7
05109,565,22
05110,977,9
05111,371,23
05112,147,1
05113,420,24
05114,491,8
05115,482,16
05116,438,8
05117,274,6
05118,2215,65
05119,1120,18
05121,270,6
05122,955,15
05123,1677,74
05124,489,13
05126,824,21
05127,321,4
05128,829,18
05129,478,10
05130,369,9
05131,161,14
05132,2165,77
05133,2144,26
05134,508,7
05135,241,1
05136,1142,21
05139,2405,33
05140,392,9
05142,906,14
05144,285,2
05145,1326,39
05146,357,2
05147,484,30
05148,700,19
05149,542,14
05151,1517,20
05152,331,2
05153,694,17
05154,391,7
05155,128,1
05156,735,17
05157,429,2
05158,269,6
05159,200,1
05160,211,2
05161,1846,12
05162,1062,38
05163,359,6
05164,1287,25
05165,602,20
05166,1490,25
05167,274,14
05168,965,30
05169,144,4
05170,1785,47
05171,404,17
05172,608,14
05173,830,15
05174,723,8
05176,326,4
05177,1293,16
05178,874,30
05179,2947,76
05180,689,7
05181,446,2
05182,140,1
05183,1331,27
05184,370,9
06001,218,3
06002,116,4
06003,756,7
06004,26925,445
06005,391,6
06006,2064,69
06007,2693,93
06008,112,2
06009,190,2
06010,2469,61
06011,1232,9
06012,2780,34
06013,1856,19
06014,744,22
06015,1301,46
06016,1319,10
06017,351,10
06018,8052,207
06019,1484,19
06020,993,15
06021,788,14
06022,695,17
06023,3013,41
06024,534,8
06025,1347,37
06026,2100,50
06027,18031,364
06028,697,4
06029,18121,220
06030,9747,131
06031,1300,43
06032,1917,14
06033,5911,229
06034,1530,51
06035,1463,23
06036,370,13
06037,540,10
06038,4279,111
06039,855,28
06040,165,1
06041,494,6
06042,1101,16
06043,990,22
06044,7582,178
06045,171,2
06046,2611,97
